No,Kegunaan,Bahan,Cara pengolahan,Cara penggunaan,Sumber,Gambar,Referensi gambar 
18,"Obat kepala terasi sakit, disertai kelluar air dari hidungnya ","Temutis (Curcuma purpurascens Bl. syn. C. soloensis Val.), garam, minyak kelapa (Cocos nucifera L.)",diremas-remas,Air remasannya ditetesi di hidung,Usada - Bali,,https://docs.google.com/document/d/1e4bqPcnku7AfTCbdIgqGChumywTNuvUJ/edit?usp=sharing&ouid=107390156108731673355&rtpof=true&sd=true
19,Obat mencret,"Pucuk muda pandan (Pandanus amaryllifolius) , gula aren (Arenga saccharifera), kemiri (Aleurites moluccana)",Digerus,Airnya diminum,Usada - Bali,,https://docs.google.com/document/d/1e4bqPcnku7AfTCbdIgqGChumywTNuvUJ/edit?usp=sharing&ouid=107390156108731673355&rtpof=true&sd=true
20,Obat tertindih barang berat hingga memar,"Beras, Kencur (kaempferia galanga), Gula aren (Arenga saccharifera)",Dikunyah,Disembur pada memar,Usada - Bali,,https://docs.google.com/document/d/1e4bqPcnku7AfTCbdIgqGChumywTNuvUJ/edit?usp=sharing&ouid=107390156108731673355&rtpof=true&sd=true
21,Tidak bisa buang air besar dan kencing,"Kulit batang kemiri (Aleurites moluccana), air cuka",Diolah untuk obat luar,Semirkan atau dilumaskan pada perut luar,Usada - Bali,,https://docs.google.com/document/d/1e4bqPcnku7AfTCbdIgqGChumywTNuvUJ/edit?usp=sharing&ouid=107390156108731673355&rtpof=true&sd=true
22,"Dada sakit ditusuk-tusuk tembus ke punggung, serta batuk-batuk","Temutis(Curcuma purpurascens Bl. syn. C. soloensis Val.), Pulasari (Alyxia oliviformis), Adas (Foeniculum vulgare) dan Kemiri(Aleurites moluccana)",Diolah untuk disembur,Disembur ,Usada - Bali,,https://docs.google.com/document/d/1e4bqPcnku7AfTCbdIgqGChumywTNuvUJ/edit?usp=sharing&ouid=107390156108731673355&rtpof=true&sd=true
23,"Sukar buang air besar, hingga perut terasa sakit tertusuk-tusuk","Liligundi ( Vitex trifolia L.) 3 pucuk, Kapur Bubuk",Diolah untuk parem,Diparemkan,Usada - Bali,,https://docs.google.com/document/d/1e4bqPcnku7AfTCbdIgqGChumywTNuvUJ/edit?usp=sharing&ouid=107390156108731673355&rtpof=true&sd=true
24,Obat batuk tetapi riaknya sukar keluar,"Lengkuas (Alpinia galanga), Bangle (Zingiber montanum), Garam",Diolah untuk parem,Diparemkan pada tenggorokan sampai ke dada,Usada - Bali,,https://docs.google.com/document/d/1e4bqPcnku7AfTCbdIgqGChumywTNuvUJ/edit?usp=sharing&ouid=107390156108731673355&rtpof=true&sd=true
25,Obat ulat berbisa ,"Daun cempedak yang belum berbunga(Artocarpus integer (Thunb.) Merr ), bawang merah(Allium ascalonicum), adas (Foeniculum vulgare)",Dihancurkan ,Sembur,Usada - Bali,,https://docs.google.com/document/d/1e4bqPcnku7AfTCbdIgqGChumywTNuvUJ/edit?usp=sharing&ouid=107390156108731673355&rtpof=true&sd=true
,,,,,,,
,,,,,,,
